iter	Passed	Remaining
0	1124	1123773
1	2216	1106055
2	3359	1116403
3	4346	1082302
4	5369	1068435
5	6391	1058932
6	7306	1036543
7	8318	1031506
8	9296	1023604
9	10277	1017517
10	11337	1019310
11	12259	1009406
12	13261	1006822
13	14138	995726
14	15147	994687
15	16170	994511
16	17213	995321
17	18143	989837
18	19161	989321
19	20160	987841
20	21077	982617
21	22087	981889
22	23214	986113
23	24241	985803
24	25324	987672
25	26392	988701
26	27504	991189
27	28584	992277
28	29551	989478
29	30629	990368
30	31716	991401
31	32791	991951
32	33865	992352
33	34826	989468
34	35924	990503
35	37058	992345
36	38121	992179
37	39208	992603
38	40121	988638
39	41181	988357
40	42108	984930
41	43144	984097
42	44152	982646
43	45129	980541
44	46064	977596
45	47008	974911
46	47955	972373
47	48913	970117
48	49893	968349
49	50880	966720
50	51916	966045
51	52863	963733
52	53827	961788
53	54854	960969
54	55893	960355
55	56898	959144
56	57887	957682
57	58915	956873
58	59894	955265
59	60906	954208
60	61961	953801
61	62981	952848
62	64024	952231
63	65041	951235
64	66022	949705
65	67045	948790
66	68082	948068
67	69126	947433
68	70177	946886
69	71214	946136
70	72187	944532
71	73217	943698
72	74241	942760
73	75275	941957
74	76213	939966
75	77178	938332
76	78174	937084
77	79187	936031
78	80099	933818
79	81110	932773
80	82165	932227
81	83074	930034
82	84102	929181
83	85131	928341
84	86154	927423
85	87129	926004
86	88160	925182
87	89185	924282
88	90104	922304
89	91118	921305
90	92163	920619
91	93141	919263
92	94041	917155
93	95040	916024
94	96059	915094
95	97040	913796
96	97984	912162
97	99005	911250
98	99986	909981
99	100917	908255
100	101839	906470
101	102933	906221
102	104018	905868
103	104903	903786
104	105807	901884
105	106842	901101
106	107890	900429
107	108811	898705
108	109793	897484
109	110852	896896
110	111866	895937
111	112805	894389
112	113693	892441
113	114740	891754
114	115758	890836
115	116730	889565
116	117634	887785
117	118663	886956
118	119592	885386
119	120550	884034
120	121496	882607
121	122463	881336
122	123380	879714
123	124344	878437
124	125380	877661
125	126397	876759
126	127404	875782
127	128405	874761
128	129412	873788
129	130334	872238
130	131380	871527
131	132308	870028
132	133337	869200
133	134345	868236
134	135372	867387
135	136296	865883
136	137252	864589
137	138299	863870
138	139314	862948
139	140423	862603
140	141372	861266
141	142613	861705
142	143552	860309
143	144615	859661
144	145647	858817
145	146408	856390
146	147447	855596
147	148397	854287
148	149402	853296
149	150441	852502
150	151386	851175
151	152480	850682
152	153496	849749
153	154525	848887
154	155454	847475
155	156346	845874
156	157270	844454
